 Asset , Portfolio , Date , Currency , Commitment ,CC Y1,CC Y2,CC Y3+,Bow Factor,Growth Rate,Yield,Life,,,,,,,
Apex Capital Partners,Apex Investment Portfolio,02/01/2024,GBP,5000000.00,28.00%,34.00%,51.00%,4.00,6.00%,4.00%,11.00,,,,,,,
Horizon Equity Group,Evergreen Growth Portfolio,18/10/2023,GBP,5000000.00,21.00%,35.00%,59.00%,8.00,12.00%,7.00%,14.00,,,,,,,
Sterling Growth Fund,Evergreen Growth Portfolio,05/10/2023,GBP,350000.00,23.00%,34.00%,59.00%,3.00,8.00%,6.00%,12.00,,,,,,,
Summit Capital Investments,Evergreen Growth Portfolio,29/09/2023,GBP,181000.00,26.00%,34.00%,55.00%,5.00,7.00%,6.00%,12.00,,,,,,,
Vanguard Private Equity,Evergreen Growth Portfolio,29/09/2023,GBP,181000.00,27.00%,32.00%,51.00%,8.00,14.00%,5.00%,7.00,,,,,,,
Pinnacle Equity Ventures,Evergreen Growth Portfolio,21/09/2023,GBP,350000.00,20.00%,39.00%,54.00%,7.00,6.00%,5.00%,13.00,,,,,,,
Heritage Investment Fund,Sapphire Capital Portfolio,19/07/2023,GBP,2000000.00,25.00%,33.00%,54.00%,9.00,12.00%,6.00%,12.00,,,,,,,
Legacy Capital Holdings,Sapphire Capital Portfolio,30/06/2023,GBP,300000.00,29.00%,30.00%,57.00%,8.00,13.00%,6.00%,14.00,,,,,,,
Crestview Partners,Sapphire Capital Portfolio,27/06/2023,GBP,390000.00,22.00%,38.00%,44.00%,8.00,11.00%,3.00%,11.00,,,,,,,
Renaissance Equity Fund,Nexus Equity Portfolio,01/06/2023,GBP,4000000.00,25.00%,39.00%,52.00%,5.00,10.00%,4.00%,14.00,,,,,,,
Beacon Capital Group,Nexus Equity Portfolio,11/05/2023,GBP,200000.00,22.00%,32.00%,56.00%,9.00,7.00%,5.00%,12.00,,,,,,,
Frontier Equity Ventures,Quantum Growth Portfolio,09/05/2023,GBP,450000.00,24.00%,33.00%,49.00%,5.00,12.00%,5.00%,12.00,,,,,,,
