 Asset , Portfolio , Date , Currency , Commitment ,CC Y1,CC Y2,CC Y3+,Bow Factor,Growth Rate,Yield,Life
Apex Capital Partners,Apex Investment Portfolio,02/01/2024,GBP,5000000,28.00%,34.00%,51.00%,4,6.00%,4.00%,11
Horizon Equity Group,Evergreen Growth Portfolio,18/10/2023,GBP,5000000,21.00%,35.00%,59.00%,8,12.00%,7.00%,14
Sterling Growth Fund,Evergreen Growth Portfolio,05/10/2023,GBP,350000,23.00%,34.00%,59.00%,3,8.00%,6.00%,12
Summit Capital Investments,Evergreen Growth Portfolio,29/09/2023,GBP,181000,26.00%,34.00%,55.00%,5,7.00%,6.00%,12
Vanguard Private Equity,Evergreen Growth Portfolio,29/09/2023,GBP,181000,27.00%,32.00%,51.00%,8,14.00%,5.00%,7
Pinnacle Equity Ventures,Evergreen Growth Portfolio,21/09/2023,GBP,350000,20.00%,39.00%,54.00%,7,6.00%,5.00%,13
Heritage Investment Fund,Sapphire Capital Portfolio,19/07/2023,GBP,2000000,25.00%,33.00%,54.00%,9,12.00%,6.00%,12
Legacy Capital Holdings,Sapphire Capital Portfolio,30/06/2023,GBP,300000,29.00%,30.00%,57.00%,8,13.00%,6.00%,14
Crestview Partners,Sapphire Capital Portfolio,27/06/2023,GBP,390000,22.00%,38.00%,44.00%,8,11.00%,3.00%,11
Renaissance Equity Fund,Nexus Equity Portfolio,01/06/2023,GBP,4000000,25.00%,39.00%,52.00%,5,10.00%,4.00%,14
Beacon Capital Group,Nexus Equity Portfolio,11/05/2023,GBP,200000,22.00%,32.00%,56.00%,9,7.00%,5.00%,12
Frontier Equity Ventures,Quantum Growth Portfolio,09/05/2023,GBP,450000,24.00%,33.00%,49.00%,5,12.00%,5.00%,12
Elevation Capital Management,Quantum Growth Portfolio,21/04/2023,GBP,400000,29.00%,38.00%,50.00%,7,13.00%,5.00%,9
Crestline Partners,Quantum Growth Portfolio,17/03/2023,GBP,210000,27.00%,39.00%,41.00%,2,8.00%,4.00%,9
Titan Investment Fund,Quantum Growth Portfolio,16/03/2023,GBP,5000000,28.00%,38.00%,55.00%,6,13.00%,4.00%,11
Catalyst Private Equity,Quantum Growth Portfolio,06/03/2023,GBP,300000,25.00%,31.00%,46.00%,1,11.00%,3.00%,5
Odyssey Capital Ventures,Quantum Growth Portfolio,10/02/2023,GBP,350000,26.00%,36.00%,52.00%,2,6.00%,4.00%,12
Endeavor Growth Fund,Ascendant Equity Portfolio,30/12/2022,GBP,5000000,21.00%,38.00%,46.00%,8,11.00%,5.00%,12
Landmark Equity Partners,Ascendant Equity Portfolio,14/12/2022,GBP,1500000,29.00%,39.00%,59.00%,5,6.00%,3.00%,10
Meridian Capital Group,Ascendant Equity Portfolio,05/12/2022,GBP,2000000,27.00%,33.00%,48.00%,3,13.00%,3.00%,6
Paramount Equity Holdings,Ascendant Equity Portfolio,01/11/2022,GBP,1300000,27.00%,34.00%,47.00%,6,12.00%,5.00%,13
NorthStar Investment Fund,Ascendant Equity Portfolio,03/10/2022,GBP,2500000,26.00%,38.00%,55.00%,4,11.00%,5.00%,12
Apex Growth Partners,Pinnacle Capital Portfolio,12/07/2022,GBP,5000000,27.00%,31.00%,50.00%,7,6.00%,5.00%,14
Liberty Capital Ventures,Pinnacle Capital Portfolio,01/07/2022,GBP,5000000,27.00%,35.00%,45.00%,2,11.00%,6.00%,13
Peak Equity Management,Pinnacle Capital Portfolio,29/04/2022,GBP,2500000,22.00%,38.00%,55.00%,9,14.00%,5.00%,14
Phoenix Investment Group,Pinnacle Capital Portfolio,13/04/2022,GBP,5000000,23.00%,33.00%,45.00%,2,10.00%,5.00%,9
Blue Ridge Capital,Pinnacle Capital Portfolio,24/03/2022,GBP,15000000,26.00%,34.00%,56.00%,6,13.00%,5.00%,12
Ascend Equity Partners,Pinnacle Capital Portfolio,17/03/2022,GBP,20000000,22.00%,38.00%,51.00%,3,6.00%,7.00%,12
Heritage Growth Fund,Pinnacle Capital Portfolio,08/03/2022,GBP,5000000,27.00%,36.00%,55.00%,7,9.00%,4.00%,9
Orion Capital Ventures,Pinnacle Capital Portfolio,28/02/2022,GBP,2000000,28.00%,33.00%,55.00%,8,14.00%,6.00%,13
Equinox Private Equity,Pinnacle Capital Portfolio,03/12/2021,GBP,1600000,25.00%,33.00%,49.00%,8,8.00%,7.00%,14
Pathfinder Capital Group,Pinnacle Capital Portfolio,28/07/2021,GBP,3000000,21.00%,37.00%,46.00%,7,9.00%,5.00%,5
Pinnacle Investment Fund,Vanguard Growth Portfolio,05/07/2021,GBP,6000000,20.00%,35.00%,57.00%,2,8.00%,6.00%,11
Integrity Equity Partners,Vanguard Growth Portfolio,29/06/2021,GBP,5000000,26.00%,32.00%,58.00%,2,9.00%,4.00%,5
Genesis Capital Ventures,Vanguard Growth Portfolio,17/06/2021,GBP,3000000,24.00%,39.00%,59.00%,1,10.00%,6.00%,6
Vanguard Growth Fund,Vanguard Growth Portfolio,11/05/2021,GBP,1500000,21.00%,36.00%,42.00%,4,8.00%,7.00%,10
Horizon Investment Group,Vanguard Growth Portfolio,10/05/2021,GBP,3000000,25.00%,32.00%,51.00%,5,12.00%,4.00%,6
